transaction_id,month,month_number,department,category,subcategory,vendor,actual_amount,budget_amount,variance_amt,variance_pct,status,approver,notes
TXN-1001,May-24,11,Business Banking,Staff Costs,Training,LinkedIn Learning,25187.23,26378.44,-1191.21,-4.52,On Track,R.Wong,
TXN-1002,Aug-23,2,Risk,Professional Fees,Legal Fees,Herbert Smith Freehills,8747.81,8280.08,467.73,5.65,Monitor,R.Wong,
TXN-1003,Jul-23,1,Finance,Technology,Cybersecurity,Various Suppliers,7341.68,7472.75,-131.07,-1.75,On Track,J.Smith,
TXN-1004,Sep-23,3,IT,Occupancy,Maintenance,Various Suppliers,7090.96,7464.65,-373.69,-5.01,Monitor,J.Smith,
TXN-1005,Aug-23,2,IT,Staff Costs,Training,KPMG Training,54486.9,57833.79,-3346.89,-5.79,Monitor,A.Johnson,
TXN-1006,Mar-24,9,Business Banking,Professional Fees,Legal Fees,MinterEllison,16727.13,17157.48,-430.35,-2.51,On Track,S.Patel,
TXN-1007,Apr-24,10,Insurance,Operations,Postage,Various Suppliers,8104.53,8547.15,-442.62,-5.18,Monitor,J.Smith,
TXN-1008,Oct-23,4,Business Banking,Professional Fees,Consulting,Deloitte,30427.38,29604.82,822.56,2.78,On Track,S.Patel,
TXN-1009,Dec-23,6,Insurance,Operations,Travel,Airbnb Business,11271.53,11605.25,-333.72,-2.88,On Track,R.Wong,
TXN-1010,May-24,11,Wealth Management,Marketing,Events,Various Suppliers,5815.99,5548.39,267.6,4.82,On Track,R.Wong,
TXN-1011,Oct-23,4,Operations,Staff Costs,Superannuation,AustralianSuper,69988.53,68605.06,1383.47,2.02,On Track,J.Smith,
TXN-1012,Oct-23,4,Risk,Operations,Travel,Qantas,8037.54,7869.77,167.77,2.13,On Track,A.Johnson,
TXN-1013,Sep-23,3,Markets,Technology,Cloud Services,Google Cloud,16376.26,15599.18,777.08,4.98,On Track,R.Wong,
TXN-1014,Jan-24,7,Risk,Professional Fees,Consulting,Boston Consulting,44893.03,41645.75,3247.28,7.8,Monitor,A.Johnson,
TXN-1015,Aug-23,2,Retail Banking,Staff Costs,Superannuation,Hostplus,20318.61,21052.04,-733.43,-3.48,On Track,R.Wong,
TXN-1016,Aug-23,2,IT,Professional Fees,Compliance,Various Suppliers,26164.57,28629.68,-2465.11,-8.61,Monitor,J.Smith,
